meal_id,meal_name,meal_type,diet_type,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,cholesterol_mg,serving_size_g
M038,Greek Yogurt Parfait with Granola and Pomegranate,breakfast,Mediterranean,456,30,58,8,12,12,489,46,356
M039,Egg White Omelet with Asparagus and Mushrooms,breakfast,Keto,279,13,18,15,8,12,459,73,267
M040,Sprouted Grain Toast with Hummus and Cucumber,breakfast,Gluten-Free,425,30,41,16,11,11,583,33,252
M041,Cranberry Walnut Oatmeal,breakfast,Vegetarian,358,18,27,8,9,7,476,87,362
M042,Avocado and Cottage Cheese Rice Cakes,breakfast,Keto,363,27,15,24,4,6,188,246,389
M043,Broccoli and Cheddar Egg Cup,breakfast,Keto,259,21,18,15,10,7,171,98,339
M044,Strawberry Basil Protein Smoothie,breakfast,Gluten-Free,480,21,38,18,7,6,331,219,210
M045,Blackberry Chia Seed Jam on Toast,breakfast,Low-Carb,441,14,40,21,6,8,361,26,358
M046,Turmeric Scrambled Eggs with Spinach,breakfast,Keto,486,20,15,30,7,11,231,221,388
M047,Lentil Flour Crepes with Spinach,breakfast,Vegetarian,473,11,55,11,7,17,329,98,297
M048,Overnight Oats with Peanut Butter and Banana,breakfast,Paleo,256,16,50,13,8,5,545,91,257
M049,Baked Eggs in Avocado Halves,breakfast,Gluten-Free,380,22,59,13,4,6,599,86,364
M050,Lemon Blueberry Protein Muffins,breakfast,Keto,496,18,8,13,10,14,523,221,348
M051,Mixed Raw Almonds and Walnuts,snack,Gluten-Free,230,4,22,14,3,6,61,90,105
M052,Apple Slices with Peanut Butter,snack,Low-Carb,233,15,27,15,7,12,100,46,50
M053,Baby Carrots with Hummus,snack,Low-Carb,184,12,20,15,8,3,234,38,58
M054,Greek Yogurt Cup with Blueberries,snack,Mediterranean,204,8,22,9,6,4,99,53,135
M055,Celery Sticks with Almond Butter,snack,Low-Carb,144,12,28,9,5,10,263,0,136
M056,Roasted Chickpeas with Paprika,snack,Mediterranean,153,9,28,14,7,7,169,56,86
M057,Hard-Boiled Eggs with Sea Salt,snack,Balanced,154,11,25,7,7,3,122,65,136
M058,Edamame in Pods with Sea Salt,snack,Gluten-Free,160,13,19,8,8,5,87,3,61
M059,Rice Cakes with Avocado Mash,snack,Vegan,221,12,12,12,5,12,197,0,81
M060,Cottage Cheese with Cherry Tomatoes,snack,Low-Carb,202,6,14,15,7,2,278,96,113
M061,Chia Seed Energy Bites,snack,Vegetarian,208,6,15,13,5,2,192,31,149
M062,Dark Chocolate and Strawberries,snack,Vegetarian,134,15,24,15,6,10,202,40,108
M063,Cucumber Slices with Tzatziki Dip,snack,Balanced,229,9,27,12,3,9,165,33,128
M064,Protein Bar with Almonds,snack,Paleo,170,15,26,12,7,5,120,56,131
M065,Pumpkin Seeds (Pepitas) Roasted,snack,Vegetarian,173,6,18,10,4,10,70,17,141
M066,Mixed Berries with Coconut Flakes,snack,Keto,198,14,4,12,2,8,154,42,79
M067,Bell Pepper Strips with Guacamole,snack,Balanced,115,6,23,11,8,11,292,89,103
M068,Rice Cake with Cashew Butter,snack,Vegan,247,9,25,5,4,6,242,0,147
M069,Keto Cheese Crisps and Olives,snack,Low-Carb,239,15,29,8,5,5,119,55,118
M070,Zucchini Chips Baked,snack,Balanced,199,8,22,7,8,9,285,16,53
M071,Steamed Edamame with Sesame Oil,snack,Vegan,244,13,10,6,7,8,84,0,100
M072,Roasted Sunflower Seeds,snack,Keto,166,9,6,12,5,7,136,97,56
M073,Sliced Radishes with Herb Butter,snack,Low-Carb,207,7,12,12,2,10,63,44,85
M074,Kale Chips with Nutritional Yeast,snack,Paleo,117,15,30,5,8,2,293,31,133
M075,Turkey Jerky Slices,snack,Paleo,139,6,14,12,7,3,194,27,52
M076,Boiled Quail Eggs,snack,Balanced,165,15,21,7,6,11,296,95,139
M077,Pickled Beets and Feta Cubes,snack,Vegetarian,141,7,13,14,2,6,197,86,149
M078,Cacao Nibs and Goji Berries,snack,Low-Carb,150,4,28,15,3,3,228,98,100
M079,Almond Flour Crackers with Cheese,snack,Mediterranean,130,15,28,5,4,10,159,84,137
M080,Flaxseed Crackers with Guacamole,snack,Gluten-Free,229,13,20,5,8,8,260,62,58
M081,Watermelon Cubes with Mint,snack,Vegetarian,192,13,24,7,5,4,237,66,105
M082,Pear Slices with Sunflower Butter,snack,Mediterranean,237,15,25,12,5,11,118,41,128
M083,Celery with Cream Cheese and Raisins,snack,Paleo,171,10,17,12,6,11,221,48,61
M084,Broccoli Florets with Ranch Dip,snack,Gluten-Free,226,8,15,12,3,7,254,33,53
M085,Cherry Tomatoes with Mozzarella Pearls,snack,Gluten-Free,170,11,10,13,3,3,111,92,85
M086,Peanut Butter Protein Balls,snack,Low-Carb,242,15,17,12,7,9,164,2,112
M087,Matcha Green Tea Smoothie Shot,snack,Vegetarian,156,9,17,9,7,11,144,60,87
M088,Frozen Grapes,snack,Gluten-Free,240,8,21,12,4,6,114,29,104
M089,Roasted Soybeans,snack,Vegetarian,149,8,13,13,8,4,99,27,142
M090,Citrus Salad with Mint,snack,Balanced,250,15,26,14,4,3,263,24,85
M091,Steamed Green Beans with Sea Salt,snack,Mediterranean,192,5,19,5,7,10,82,35,79
M092,Coconut Chips Unsweetened,snack,Vegan,241,7,14,15,8,9,76,0,56
M093,Radish Slices with Hummus,snack,Mediterranean,222,10,20,7,2,6,290,61,110
M094,Seaweed Snacks Roasted,snack,Vegetarian,202,10,12,14,7,12,63,19,58
M095,Almond Milk Protein Shake,snack,Keto,177,4,5,9,6,8,205,76,122
M096,Pistachios in Shell,snack,Paleo,233,9,24,12,4,11,159,39,149
M097,Sliced Cucumber with Lemon and Salt,snack,Vegan,125,15,16,15,3,6,219,0,128
M098,Walnut Halves with Dried Figs,snack,Keto,144,11,3,10,2,8,165,88,80
M099,Cottage Cheese with Cinnamon and Apple,snack,Balanced,108,6,19,9,7,9,68,87,87
M100,Spiced Roasted Pecans,snack,Paleo,250,13,16,11,2,10,107,82,83
M101,Quinoa Salad with Roasted Vegetables,lunch,Keto,422,22,9,22,9,11,882,103,368
M102,Grilled Chicken Breast with Steamed Broccoli,lunch,Balanced,589,42,49,22,9,10,852,156,331
M103,Lentil Soup with Kale and Carrots,lunch,Balanced,370,33,50,18,5,3,534,177,320
M104,Tuna Salad Lettuce Wraps,lunch,Vegan,487,38,32,15,12,10,752,0,495
M105,Chickpea and Cucumber Mediterranean Bowl,lunch,Keto,573,40,18,18,12,7,718,115,449
M106,Turkey and Avocado Whole Wheat Wrap,lunch,Gluten-Free,403,25,51,23,12,6,710,170,471
M107,Tofu and Vegetable Stir-Fry with Brown Rice,lunch,Vegan,395,30,46,20,6,14,713,0,416
M108,Salmon Salad with Lemon Vinaigrette,lunch,Vegan,627,34,56,11,8,10,670,0,468
M109,Sweet Potato and Black Bean Bowl,lunch,Balanced,576,44,33,16,9,10,434,103,460
M110,Mediterranean Falafel Wrap with Tahini,lunch,Balanced,598,23,31,17,7,6,864,33,478
M111,Zucchini Noodles with Pesto and Chicken,lunch,Low-Carb,465,23,59,13,15,15,457,157,323
M112,Spinach Salad with Walnuts and Goat Cheese,lunch,Mediterranean,489,33,60,25,8,9,864,67,430
M113,Shrimp and Avocado Salad with Lime Dressing,lunch,Low-Carb,610,43,38,12,9,14,724,117,348
M114,Cottage Cheese and Tomato Salad,lunch,Mediterranean,494,43,49,28,14,12,801,68,300
M115,Roasted Eggplant and Chickpea Salad,lunch,Balanced,597,31,51,27,13,8,766,112,437
M116,Beef Stir-Fry with Bell Peppers and Snap Peas,lunch,Paleo,472,38,54,17,11,2,625,151,478
M117,Mushroom and Lentil Stew,lunch,Low-Carb,427,35,32,14,13,11,639,55,398
M118,Chicken Caesar Salad with Greek Yogurt Dressing,lunch,Balanced,619,34,30,14,11,15,458,49,325
M119,Black Bean and Corn Salad with Cilantro,lunch,Balanced,485,30,69,22,15,3,636,166,500
M120,White Bean and Kale Soup,lunch,Low-Carb,599,37,32,12,8,12,594,88,381
M121,Tempeh and Quinoa Power Bowl,lunch,Vegetarian,400,44,70,13,12,4,606,37,411
M122,Sardine and Cucumber Salad on Rye,lunch,Vegan,378,29,52,21,11,4,550,0,383
M123,Soba Noodle Salad with Edamame and Sesame,lunch,Low-Carb,442,25,41,12,14,15,691,188,444
M124,Greek Salad with Grilled Chicken,lunch,Paleo,648,24,44,24,15,6,770,95,427
M125,Roasted Butternut Squash and Spinach Salad,lunch,Vegan,497,41,64,15,6,9,653,0,419
M126,Turkey Meatballs with Zucchini Noodles,lunch,Mediterranean,567,42,46,24,9,5,693,153,463
M127,Cauliflower Rice Buddha Bowl with Tofu,lunch,Vegetarian,545,38,52,28,9,13,602,35,360
M128,Spicy Tuna Poke Bowl with Brown Rice,lunch,Low-Carb,354,38,33,25,9,14,535,185,370
M129,Asparagus and Lemon Risotto with Parmesan,lunch,Gluten-Free,447,39,46,14,15,3,340,109,356
M130,Grilled Portobello Mushroom Burger with Salad,lunch,Balanced,646,31,38,12,9,7,725,74,308
M131,Hummus and Roasted Veggie Pita Pocket,lunch,Paleo,626,31,63,26,9,15,468,95,333
M132,Egg Salad on Whole Wheat Greens,lunch,Balanced,523,45,37,24,6,4,531,131,375
M133,White Fish Tacos with Cabbage Slaw,lunch,Gluten-Free,552,20,46,27,6,9,677,97,323
M134,Red Lentil Dahl with Spinach,lunch,Low-Carb,540,23,44,25,5,11,874,113,463
M135,Chicken and Vegetable Broth Soup,lunch,Paleo,382,40,59,19,15,8,419,65,465
M136,Zucchini Boats Stuffed with Ground Turkey,lunch,Vegan,505,35,37,13,8,10,438,0,309
M137,Beef and Broccoli Stir-Fry with Cauliflower Rice,lunch,Balanced,626,33,67,14,11,12,401,155,394
M138,Avocado and Chickpea Salad Stuffed Pita,lunch,Low-Carb,366,42,53,16,12,9,541,122,371
M139,Spinach and Mushroom Quiche Slice,lunch,Vegetarian,538,37,52,11,11,6,494,61,475
M140,Roast Beef Wrap with Mustard and Greens,lunch,Balanced,458,40,70,10,5,14,641,92,323
M141,Cod Fillet with Roasted Asparagus,lunch,Keto,455,22,19,24,14,5,538,114,444
M142,Curried Chickpea Salad Lettuce Cups,lunch,Keto,351,28,11,21,13,6,478,58,452
M143,Shrimp and Quinoa Salad,lunch,Vegan,357,31,45,28,10,2,478,0,333
M144,Pork Tenderloin Medallions with Green Beans,lunch,Vegan,565,36,37,12,12,9,670,0,332
M145,Baked Salmon with Lemon and Dill,lunch,Vegetarian,607,27,69,11,15,10,608,147,415
M146,Eggplant Parmesan Bake (Light),lunch,Vegan,595,32,57,13,12,13,754,0,315
M147,Chilled Cucumber and Avocado Soup,lunch,Vegetarian,425,22,38,18,14,12,899,170,382
M148,Steamed Mussels with Garlic and Tomatoes,lunch,Gluten-Free,621,29,59,26,14,8,401,59,397
M149,Chicken and Quinoa Stuffed Bell Peppers,lunch,Paleo,581,27,56,20,12,8,725,54,410
M150,Vegetable Minestrone Soup,lunch,Gluten-Free,510,41,46,21,7,12,785,47,409
M151,Baked Salmon with Quinoa and Asparagus,dinner,Vegetarian,443,27,47,15,17,13,731,247,562
M152,Grilled Chicken Breast with Sweet Potato Mash,dinner,Keto,430,43,16,43,11,12,475,145,492
M153,Baked Cod with Roasted Zucchini and Tomatoes,dinner,Gluten-Free,740,55,47,35,6,6,964,119,573
M154,Lean Beef Stir-Fry with Broccoli and Mushrooms,dinner,Gluten-Free,695,41,33,16,16,9,579,67,376
M155,Tofu and Vegetable Red Coconut Curry,dinner,Gluten-Free,684,36,27,20,15,5,789,183,566
M156,Turkey Meatballs with Marinara and Zucchini Noodles,dinner,Vegan,736,51,64,20,6,4,629,0,505
M157,Lentil Shepherd's Pie with Mashed Cauliflower,dinner,Mediterranean,573,36,20,17,8,11,760,57,585
M158,Shrimp Scampi with Zucchini Noodles and Garlic,dinner,Keto,724,25,7,52,14,5,735,147,539
M159,Stuffed Bell Peppers with Ground Turkey and Brown Rice,dinner,Balanced,480,36,39,35,11,14,931,192,437
M160,Baked Chicken Thighs with Roasted Brussels Sprouts,dinner,Vegetarian,426,29,30,31,6,12,433,109,576
M161,White Fish Papillote with Lemon and Herbs,dinner,Balanced,617,40,58,26,12,6,570,233,519
M162,Pork Chops with Roasted Apples and Green Beans,dinner,Vegetarian,620,28,38,33,16,11,848,174,438
M163,Tempeh Buddha Bowl with Peanut Dressing,dinner,Mediterranean,512,37,58,13,6,5,658,94,361
M164,Grass-Fed Steak with Roasted Mushrooms and Spinach,dinner,Keto,530,34,12,22,6,9,790,84,545
M165,Chickpea Coconut Curry with Spinach and Brown Rice,dinner,Keto,672,47,10,42,14,15,712,58,447
M166,Mahi Mahi Tacos with Cabbage Slaw and Avocado,dinner,Low-Carb,421,38,21,26,7,15,670,187,570
M167,Eggplant and Chickpea Tagine with Couscous,dinner,Low-Carb,607,47,60,25,10,3,764,45,496
M168,Roasted Chicken Breast with Herb-Roasted Root Vegetables,dinner,Gluten-Free,716,39,64,23,7,8,458,102,393
M169,Salmon Teriyaki with Steamed Bok Choy,dinner,Low-Carb,605,41,25,24,10,13,697,96,500
M170,Turkey Chili with Black Beans and Corn,dinner,Gluten-Free,486,27,52,32,7,10,872,89,549
M171,Vegetable Stir-Fry with Crispy Tofu and Cashews,dinner,Gluten-Free,730,51,29,19,7,4,612,90,439
M172,Halibut with Lemon-Caper Sauce and Asparagus,dinner,Keto,478,49,18,21,8,14,993,166,504
M173,Beef and Vegetable Stew with Carrots and Potatoes,dinner,Balanced,688,49,57,26,16,11,1000,199,543
M174,Stuffed Acorn Squash with Quinoa and Pecans,dinner,Gluten-Free,721,35,29,26,7,9,802,201,571
M175,Lemon Herb Grilled Chicken Skewers with Greek Salad,dinner,Mediterranean,540,43,23,23,14,3,667,158,553
M176,Pan-Seared Scallops with Cauliflower Puree,dinner,Balanced,429,36,38,14,16,15,442,197,359
M177,Black Bean and Quinoa Burgers with Side Salad,dinner,Low-Carb,697,42,22,26,18,11,542,122,468
M178,Roasted Pork Tenderloin with Roasted Broccoli,dinner,Balanced,477,55,23,26,7,14,701,222,478
M179,Cabbage Rolls Stuffed with Ground Turkey and Rice,dinner,Vegetarian,730,30,22,19,17,9,799,174,479
M180,Baked Trout with Almond Crust and Steamed Green Beans,dinner,Keto,590,54,11,36,12,14,696,213,443
M181,Vegan Mushroom Stroganoff with Zucchini Noodles,dinner,Vegan,723,45,41,14,11,3,921,0,552
M182,Chicken Fajita Bowl with Peppers and Onions,dinner,Low-Carb,529,48,62,31,8,7,433,189,422
M183,Shrimp and Asparagus Stir-Fry with Brown Rice,dinner,Keto,579,34,18,51,16,8,482,192,584
M184,Beef Kofta Meatballs with Cucumber Salad,dinner,Vegetarian,686,37,61,22,8,12,889,63,429
M185,Lentil and Walnut Bolognese with Spaghetti Squash,dinner,Low-Carb,585,25,43,21,8,5,699,236,480
M186,Baked Chicken Parmesan (Light) with Green Salad,dinner,Balanced,515,29,29,14,10,15,453,169,399
M187,White Bean and Rosemary Soup with Kale,dinner,Vegan,572,53,59,16,15,8,507,0,519
M188,Seared Tuna Steak with Sesame Seeds and Cucumber Salad,dinner,Keto,719,50,9,52,13,2,770,133,562
M189,Sweet Potato Gnocchi with Sage and Spinach,dinner,Paleo,627,44,38,35,18,9,589,176,598
M190,Stuffed Portobello Mushrooms with Spinach and Feta,dinner,Paleo,640,53,32,23,16,11,801,158,429
M191,Roasted Duck Breast with Cherry Reduction and Greens,dinner,Mediterranean,595,41,53,25,8,15,554,245,549
M192,Cod and Sweet Potato Fish Cakes with Salad,dinner,Keto,528,26,18,40,11,10,455,222,573
M193,Spicy Tofu and Broccoli Sauté,dinner,Vegetarian,442,49,30,20,13,10,500,151,422
M194,Beef Tenderloin with Garlic Mashed Cauliflower,dinner,Vegetarian,513,51,48,23,6,8,404,141,592
M195,Chicken Piccata with Artichoke Hearts and Spinach,dinner,Gluten-Free,597,27,43,19,6,7,451,222,410
M196,Vegetable and Chickpea Tagine,dinner,Gluten-Free,474,29,22,21,13,13,492,234,552
M197,Grilled Salmon with Mango Salsa and Quinoa,dinner,Balanced,715,25,25,12,10,5,503,180,464
M198,Turkey Meatloaf with Steamed Asparagus,dinner,Low-Carb,547,32,39,15,6,5,779,203,378
M199,Pork Stir-Fry with Sugar Snap Peas,dinner,Balanced,456,51,51,31,14,2,997,171,366
M200,Mushroom and Spinach Lasagna (Zucchini Sheets),dinner,Paleo,473,34,47,12,15,7,596,186,533
